brand_id,cpg_id,barcode,category,categoryCode,name,topBrand,brandCode
5fb28549be37ce522e165cb5,5fb28549be37ce522e165cb4,511111317364,Baking,BAKING,test brand @1605535049181,False,
592486bfe410d61fcea3d139,5332f5f6e4b03c9a25efd0b4,511111300700,Beauty,,ST. IVES,False,ST IVES
5c4699f387ff3577e203ea29,55b62995e4b0d8e685c14213,511111305125,Baby,,Chris Image Test,True,CHRISIMAGE
5da6071ea60b87376833e34d,5d9b4f591dda2c6225a284aa,511111005650,Health & Wellness,HEALTHY_AND_WELLNESS,Alka-Seltzer®,True,ALKA SELTZER
57ebc011e4b0ac389136a335,559c2234e4b06aca36af13c6,511111802129,Condiments & Sauces,,Jack Daniel's,False,JACK DANIEL'S BARBECUE
5332f5fee4b03c9a25efd0bd,53e10d6368abd3c7065097cc,511111303947,,,Bottled Starbucks,True,
5332fa7ce4b03c9a25efd22e,5332f5ebe4b03c9a25efd0a8,511111802914,,,Full Throttle,True,
5e9f18bfbe37ce3e45b6a77f,5e9f12f5be37ce3e45b6a77e,511111914549,Baking,BAKING,PopUp Brand A,True,
592486bee410d61fcea3d133,5332f5f6e4b03c9a25efd0b4,511111400769,Frozen,,MAGNUM Ice Cream,False,MAGNUM Ice Cream
5d66d71fa3a018093ab34728,5d5d4fd16d5f3b23d1bc7905,511111105329,Magazines,,Elegant Homes Magazine,True,511111105329
5f493e72be37ce64d0ae36c6,5f493e72be37ce64d0ae36c2,511111316114,Baking,BAKING,test brand @1598635634882,True,TEST BRANDCODE @1598635634882
5f4936ddbe37ce52f8314fd9,5f4936dcbe37ce52f8314fd8,511111315957,Baking,BAKING,test brand @1598633693011,True,
57ebc2e7e4b0ac389136a34b,559c2234e4b06aca36af13c6,511111201915,Grocery,,Taco Bell,False,TACO BELL
5fd2a0aebe37ce49eb72c0ee,5fd2a0aebe37ce49eb72c0ed,511111518112,Baking,BAKING,test brand @1607639214411,False,
